ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.047141-0.1,49.6,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.047142-9.1,37.2,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.047143-7.1,37.2,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.047144-5.1,37.2,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.047160-7.1,31.5,31.5,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ XII S.A. - 36.641.357/0001-04 (PIE)
EOL.CV.RN.047161-5.1,27.0,27.0,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ XI S.A. - 36.641.855/0001-49 (PIE)
EOL.CV.RN.047162-3.1,22.5,22.5,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ IX S.A. - 36.641.614/0001-08 (PIE)
EOL.CV.RN.047163-1.1,18.0,18.0,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ VI S.A. - 25.216.818/0001-77 (PIE)
EOL.CV.RN.047164-0.1,27.0,27.0,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ X S.A. - 36.641.948/0001-73 (PIE)
EOL.CV.RN.047165-8.1,27.0,27.0,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ IV S.A. - 38.419.561/0001-00 (PIE)
EOL.CV.RN.047166-6.1,22.5,22.5,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ V S.A. - 25.318.520/0001-78 (PIE)
EOL.CV.RN.047198-4.1,45.6,45.6,Operação,100% para VENTOS DE SANTA TEREZA 14 ENERGIAS RENOVAVEIS S.A. - 36.957.804/0001-20 (PIE)
EOL.CV.RN.047205-0.2,45.0,45.0,Operação,100% para Ventos de São Galdino Energias Renováveis S.A. - 42.495.343/0001-14 (PIE)
EOL.CV.RN.047235-2.1,39.9,39.9,Operação,100% para VENTOS DE SANTA TEREZA 01 ENERGIAS RENOVAVEIS S.A. - 36.952.007/0001-50 (PIE)
EOL.CV.RN.047236-0.1,39.9,39.9,Operação,100% para VENTOS DE SANTA TEREZA 02 ENERGIAS RENOVAVEIS S.A. - 36.952.033/0001-89 (PIE)
EOL.CV.RN.047237-9.1,45.6,45.6,Operação,100% para VENTOS DE SANTA TEREZA 03 ENERGIAS RENOVAVEIS S.A. - 36.951.946/0001-80 (PIE)
EOL.CV.RN.047238-7.1,39.9,39.9,Operação,100% para VENTOS DE SANTA TEREZA 04 ENERGIAS RENOVAVEIS S.A. - 37.002.801/0001-04 (PIE)
EOL.CV.RN.047239-5.1,45.6,45.6,Operação,100% para VENTOS DE SANTA TEREZA 05 ENERGIAS RENOVAVEIS S.A. - 36.951.974/0001-06 (PIE)
EOL.CV.RN.047240-9.1,5.9,0.0,Construção,100% para Ventos de Santa Tereza 06 Energias Renováveis S.A. - 36.951.989/0001-66 (PIE)
EOL.CV.RN.047241-7.1,68.4,68.4,Operação,100% para VENTOS DE SANTA TEREZA 07 ENERGIAS RENOVAVEIS S.A. - 37.020.274/0001-52 (PIE)
EOL.CV.RN.047242-5.1,17.1,17.1,Operação,100% para VENTOS DE SANTA TEREZA 08 ENERGIAS RENOVAVEIS S.A. - 36.957.817/0001-08 (PIE)
EOL.CV.RN.047243-3.1,59.0,0.0,Construção,100% para VENTOS DE SANTA TEREZA 09 ENERGIAS RENOVAVEIS S.A. - 36.952.001/0001-83 (PIE)
EOL.CV.RN.047244-1.1,51.3,51.3,Operação,100% para VENTOS DE SANTA TEREZA 10 ENERGIAS RENOVAVEIS S.A. - 36.957.768/0001-03 (PIE)
EOL.CV.RN.047245-0.1,47.2,0.0,Construção,100% para VENTOS DE SANTA TEREZA 11 ENERGIAS RENOVAVEIS S.A. - 36.957.786/0001-87 (PIE)
EOL.CV.RN.047246-8.1,22.8,22.8,Operação,100% para VENTOS DE SANTA TEREZA 12 ENERGIAS RENOVAVEIS S.A. - 37.020.270/0001-74 (PIE)
EOL.CV.RN.047247-6.1,45.6,45.6,Operação,100% para VENTOS DE SANTA TEREZA 13 ENERGIAS RENOVAVEIS S.A. - 36.957.780/0001-00 (PIE)
EOL.CV.RN.049170-5.1,23.6,23.6,Operação,100% para VENTOS DE SAO RICARDO 01 ENERGIAS RENOVAVEIS S.A. - 37.053.489/0001-70 (PIE)
EOL.CV.RN.049171-3.1,29.5,29.5,Operação,100% para VENTOS DE SAO RICARDO 02 ENERGIAS RENOVAVEIS S.A. - 37.002.800/0001-51 (PIE)
EOL.CV.RN.049172-1.1,51.3,51.3,Operação,100% para VENTOS DE SAO RICARDO 03 ENERGIAS RENOVAVEIS S.A. - 36.957.823/0001-57 (PIE)
EOL.CV.RN.049173-0.1,39.9,39.9,Operação,100% para VENTOS DE SAO RICARDO 04 ENERGIAS RENOVAVEIS S.A. - 37.002.822/0001-11 (PIE)
